line,indent,name,class,confidence,persist_policy,note,declaration
10359,4,cachedPkpdRuntime,CACHE,HEURISTIC,rebuild,Acquisition or tick cache. Do not move into the KMP engine.,private var cachedPkpdRuntime: PkPdRuntime? = null // 🔧 FIX (MTR): Global cache for Safety methods
10360,4,cachedRiskEnvelopeEarly,CACHE,HEURISTIC,rebuild,Acquisition or tick cache. Do not move into the KMP engine.,private var cachedRiskEnvelopeEarly: AimiRiskEnvelope? = null
10361,4,cachedRiskEnvelopeDecision,CACHE,HEURISTIC,rebuild,Acquisition or tick cache. Do not move into the KMP engine.,private var cachedRiskEnvelopeDecision: AimiRiskEnvelope? = null
10362,4,lastSafetyRiskExport,TELEMETRY,HEURISTIC,n/a,Trace / export of this tick.,private var lastSafetyRiskExport: SafetyRiskExportSnapshot? = null
10363,4,lastScenarioProjection,TELEMETRY,HEURISTIC,n/a,Trace / export of this tick.,private var lastScenarioProjection: ScenarioProjectionPair? = null
10366,4,lastPredDivergenceExport,TELEMETRY,HEURISTIC,n/a,Trace / export of this tick.,private var lastPredDivergenceExport: org.json.JSONObject? = null
10367,4,lastDecisionPredictionAuthority,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastDecisionPredictionAuthority: DecisionPredictionAuthority? = null
10368,4,lastIntelligenceSnapshot,TELEMETRY,HEURISTIC,n/a,Trace / export of this tick.,private var lastIntelligenceSnapshot: AimiIntelligenceSnapshot? = null
10369,4,lastPredictionAuthorityApplyResult,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastPredictionAuthorityApplyResult: PredictionAuthorityApplyResult? = null
10371,4,lastDoseTerminalSnapshot,TELEMETRY,HEURISTIC,n/a,Trace / export of this tick.,private var lastDoseTerminalSnapshot: DoseTerminalSnapshot? = null
10477,4,tubeDoseBaseline,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var tubeDoseBaseline: TubeDoseBaseline? = null
10479,4,tubeAppliedFromDoseSnapshotThisTick,WORKING,HEURISTIC,reset,Name says this tick only.,private var tubeAppliedFromDoseSnapshotThisTick: Boolean = false
10736,4,lastAdvancedPredictionCurves,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastAdvancedPredictionCurves: AdvancedPredictionCurves? = null
10738,4,lastPkpdSoftFloorTelemetry,TELEMETRY,HEURISTIC,n/a,Trace / export of this tick.,private var lastPkpdSoftFloorTelemetry: PkpdSoftFloorTelemetry? = null
10739,4,lastSafetyTerminalsForRbt,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastSafetyTerminalsForRbt: SafetyPredictionTerminals? = null
10740,4,lastHyperTrajectoryRelease,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastHyperTrajectoryRelease: HyperTrajectoryReleaseResult? = null
10741,4,lastRecursiveBeliefSnapshot,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastRecursiveBeliefSnapshot: RecursiveBeliefSnapshot? = null
10742,4,lastRecursiveAuthorityGateDecision,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastRecursiveAuthorityGateDecision: RecursiveBeliefAuthorityGate.Decision? = null
10743,4,lastT3cHistoricalBypassNeutralizedThisTick,WORKING,HEURISTIC,reset,Name says this tick only.,private var lastT3cHistoricalBypassNeutralizedThisTick: Boolean = false
10744,4,lastT3cRuntimeOwnership,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastT3cRuntimeOwnership: AimiDecisionContext.T3cRuntimeOwnershipExport? = null
10745,4,lastRbtChaosEvaluation,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastRbtChaosEvaluation: RbtChaosEvaluator.Result? = null
10746,4,lastRbtAppliedHints,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastRbtAppliedHints: RbtResolutionBridge.AppliedHints? = null
10747,4,rbtResolvedThisTick,WORKING,HEURISTIC,reset,Name says this tick only.,private var rbtResolvedThisTick = false
10748,4,lastRbtLiveCommitResult,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastRbtLiveCommitResult: RbtLiveCommitResult? = null
10750,4,lastAuditorTickDisposition,TELEMETRY,HEURISTIC,n/a,Trace / export of this tick.,private var lastAuditorTickDisposition: AuditorJsonlExport.TickDisposition? = null
10751,4,lastAuditorLoopSnapshot,TELEMETRY,HEURISTIC,n/a,Trace / export of this tick.,private var lastAuditorLoopSnapshot: AuditorJsonlExport.TickSnapshot? = null
10752,4,currentTickDecisionEventId,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var currentTickDecisionEventId: String? = null
10753,4,lastAuditorAuditStartedAtMs,TELEMETRY,HEURISTIC,n/a,Trace / export of this tick.,private var lastAuditorAuditStartedAtMs: Long = 0L
10755,4,lastLoadGovernorMultiplierG,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastLoadGovernorMultiplierG: Double = 1.0
10756,4,lastPhysiologicalPhaseOutput,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastPhysiologicalPhaseOutput: PhysiologicalPhaseClassifier.Output? = null
10757,4,lastPhysiologicalPatternSnapshot,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastPhysiologicalPatternSnapshot: PhysiologicalPatternSnapshot? = null
10759,4,lastMealAbsorptionOutput,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastMealAbsorptionOutput: MealAbsorptionPhaseEngine.Output? = null
10760,4,lastInsulinStackingEvaluation,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastInsulinStackingEvaluation: InsulinStackingStance.Evaluation? = null
10761,4,lastBasePhysioMultipliers,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastBasePhysioMultipliers: PhysioMultipliersMTR = PhysioMultipliersMTR.NEUTRAL
10762,4,lastFusedPhysioMultipliers,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastFusedPhysioMultipliers: PhysioMultipliersMTR? = null
10763,4,lastScenarioBestCappedForPhysio,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastScenarioBestCappedForPhysio: Boolean = false
10764,4,hyperDwellAboveHighBgSinceMs,ENGINE_STATE,ANNEX8,unknown,Annex 8 cross-tick memory.,private var hyperDwellAboveHighBgSinceMs: Long = 0L
10765,4,pendingTrajSpiralBasal,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var pendingTrajSpiralBasal: PendingTrajSpiralBasal? = null
10773,4,tags60to120minAgo,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,"private var tags60to120minAgo = """""
10774,4,tags120to180minAgo,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,"private var tags120to180minAgo = """""
10775,4,tags180to240minAgo,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,"private var tags180to240minAgo = """""
10776,4,tir1DAYabove,INPUT,HEURISTIC,n/a,TIR derived input.,private var tir1DAYabove: Double = 0.0
10777,4,currentTIRLow,INPUT,HEURISTIC,n/a,TIR derived input.,private var currentTIRLow: Double = 0.0
10778,4,lastProfile,INPUT,HEURISTIC,n/a,Effective profile copy. Also a cache if reused across ticks.,private var lastProfile: OapsProfileAimi? = null
10779,4,wCycleInfoForRun,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var wCycleInfoForRun: WCycleInfo? = null
10780,4,lastWCycleBelief,ENGINE_STATE,HEURISTIC,unknown,Cross-tick memory on freeze. CORE must confirm.,private var lastWCycleBelief: WCycleBelief? = null
10781,4,wCycleReasonLogged,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var wCycleReasonLogged: Boolean = false
10782,4,currentTIRRange,INPUT,HEURISTIC,n/a,TIR derived input.,private var currentTIRRange: Double = 0.0
10783,4,currentTIRAbove,INPUT,HEURISTIC,n/a,TIR derived input.,private var currentTIRAbove: Double = 0.0
10784,4,lastHourTIRLow,INPUT,HEURISTIC,n/a,TIR derived input.,private var lastHourTIRLow: Double = 0.0
10785,4,lastHourTIRLow100,INPUT,HEURISTIC,n/a,TIR derived input.,private var lastHourTIRLow100: Double = 0.0
10786,4,lastHourTIRabove170,INPUT,HEURISTIC,n/a,TIR derived input.,private var lastHourTIRabove170: Double = 0.0
10787,4,lastHourTIRabove120,INPUT,HEURISTIC,n/a,TIR derived input.,private var lastHourTIRabove120: Double = 0.0
10788,4,bg,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var bg = 0.0
10789,4,targetBg,INPUT,HEURISTIC,n/a,Member targetBg. Do not merge with schedule target_bg.,private var targetBg = 90.0f
10790,4,normalBgThreshold,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var normalBgThreshold = 110.0f
10791,4,delta,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var delta = 0.0f
10792,4,shortAvgDelta,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var shortAvgDelta = 0.0f
10793,4,longAvgDelta,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var longAvgDelta = 0.0f
10794,4,lastsmbtime,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var lastsmbtime = 0
10795,4,acceleratingUp,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var acceleratingUp: Int = 0
10796,4,decceleratingUp,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var decceleratingUp: Int = 0
10797,4,acceleratingDown,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var acceleratingDown: Int = 0
10798,4,decceleratingDown,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var decceleratingDown: Int = 0
10799,4,stable,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var stable: Int = 0
10800,4,maxIob,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var maxIob = 0.0
10801,4,maxSMB,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var maxSMB = 0.5
10802,4,maxSMBHB,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var maxSMBHB = 0.5
10803,4,lastBolusSMBUnit,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var lastBolusSMBUnit = 0.0f
10804,4,tdd7DaysPerHour,INPUT,HEURISTIC,n/a,TDD derived input. Do not treat missing as 0 silently.,private var tdd7DaysPerHour = 0.0f
10805,4,tdd2DaysPerHour,INPUT,HEURISTIC,n/a,TDD derived input.,private var tdd2DaysPerHour = 0.0f
10806,4,tddPerHour,INPUT,HEURISTIC,n/a,TDD derived input.,private var tddPerHour = 0.0f
10807,4,tdd24HrsPerHour,INPUT,HEURISTIC,n/a,TDD derived input.,private var tdd24HrsPerHour = 0.0f
10808,4,hourOfDay,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var hourOfDay: Int = 0
10809,4,weekend,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var weekend: Int = 0
10810,4,recentSteps5Minutes,INPUT,HEURISTIC,n/a,"Steps window copy. Missing must stay Missing, not 0.",private var recentSteps5Minutes: Int = 0
10811,4,recentSteps10Minutes,INPUT,HEURISTIC,n/a,Steps window copy.,private var recentSteps10Minutes: Int = 0
10812,4,recentSteps15Minutes,INPUT,HEURISTIC,n/a,Steps window copy.,private var recentSteps15Minutes: Int = 0
10813,4,recentSteps30Minutes,INPUT,HEURISTIC,n/a,Steps window copy.,private var recentSteps30Minutes: Int = 0
10814,4,recentSteps60Minutes,INPUT,HEURISTIC,n/a,Steps window copy.,private var recentSteps60Minutes: Int = 0
10815,4,recentSteps180Minutes,INPUT,HEURISTIC,n/a,Steps window copy.,private var recentSteps180Minutes: Int = 0
10816,4,basalaimi,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var basalaimi = 0.0f
10817,4,endoSmbMult,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var endoSmbMult = 1.0  // Written by applyEndoAndActivityAdjustments each cycle
10818,4,activityProtectionMode,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var activityProtectionMode = false  // Written by applyEndoAndActivityAdjustments
10819,4,activityStateIntense,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var activityStateIntense = false     // Written by applyEndoAndActivityAdjustments
10820,4,cachedActivityContext,CACHE,HEURISTIC,rebuild,Acquisition or tick cache. Do not move into the KMP engine.,private var cachedActivityContext: app.aaps.plugins.aps.openAPSAIMI.activity.ActivityContext? = null  // Written by applyEndoAndActivityAdjustments
10821,4,cachedBasalFirstActive,CACHE,HEURISTIC,rebuild,Acquisition or tick cache. Do not move into the KMP engine.,private var cachedBasalFirstActive = false    // Written by applyBasalFirstPolicy
10822,4,cachedIsFragileBg,CACHE,HEURISTIC,rebuild,Acquisition or tick cache. Do not move into the KMP engine.,private var cachedIsFragileBg = false         // Written by applyBasalFirstPolicy
10823,4,aimilimit,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var aimilimit = 0.0f
10824,4,ci,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var ci = 0.0f
10825,4,sleepTime,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var sleepTime = false
10826,4,sportTime,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var sportTime = false
10828,4,aimiContextActivityActive,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var aimiContextActivityActive = false
10830,4,exerciseInsulinLockoutActive,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var exerciseInsulinLockoutActive = false
10832,4,exerciseHyperBasalOverrideActive,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var exerciseHyperBasalOverrideActive = false
10834,4,tickCombinedDelta,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var tickCombinedDelta = 0f
10835,4,snackTime,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var snackTime = false
10836,4,lowCarbTime,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var lowCarbTime = false
10837,4,highCarbTime,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var highCarbTime = false
10838,4,mealTime,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var mealTime = false
10839,4,bfastTime,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var bfastTime = false
10840,4,lunchTime,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var lunchTime = false
10841,4,dinnerTime,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var dinnerTime = false
10842,4,fastingTime,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var fastingTime = false
10843,4,stopTime,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var stopTime = false
10844,4,iscalibration,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var iscalibration = false
10845,4,mealruntime,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var mealruntime: Long = 0
10846,4,bfastruntime,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var bfastruntime: Long = 0
10847,4,lunchruntime,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var lunchruntime: Long = 0
10848,4,dinnerruntime,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var dinnerruntime: Long = 0
10849,4,highCarbrunTime,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var highCarbrunTime: Long = 0
10850,4,snackrunTime,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var snackrunTime: Long = 0
10851,4,intervalsmb,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var intervalsmb = 1
10852,4,peakintermediaire,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var peakintermediaire = 0.0
10853,4,latestAdjustedDia,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var latestAdjustedDia: Double = 0.0 // Captured for logging
10854,4,insulinPeakTime,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var insulinPeakTime = 0.0
10855,4,iobActivityNow,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var iobActivityNow: Double = 0.0
10856,4,lastBolusAgeMinutes,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var lastBolusAgeMinutes: Double = Double.NaN
10858,4,pkpdAbsorptionGuardAppliedThisTick,WORKING,HEURISTIC,reset,Name says this tick only.,private var pkpdAbsorptionGuardAppliedThisTick: Boolean = false
10859,4,isConfirmedHighRiseThisTick,WORKING,HEURISTIC,reset,Name says this tick only.,private var isConfirmedHighRiseThisTick: Boolean = false
10867,4,criticalSafetyZeroedThisTick,WORKING,HEURISTIC,reset,Name says this tick only.,private var criticalSafetyZeroedThisTick: Boolean = false
10870,4,lastBasalTerminalTelemetry,TELEMETRY,HEURISTIC,n/a,Trace / export of this tick.,private var lastBasalTerminalTelemetry: org.json.JSONObject? = null
10873,4,lastAdaptiveBasalTrace,TELEMETRY,HEURISTIC,n/a,Trace / export of this tick.,private var lastAdaptiveBasalTrace: JSONObject? = null
10882,4,tickCobGrams,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var tickCobGrams: Double = Double.NaN
10885,4,aimiDecisionExportedThisTick,WORKING,HEURISTIC,reset,Name says this tick only.,private var aimiDecisionExportedThisTick: Boolean = false
10888,4,pendingDecisionCtxForExport,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var pendingDecisionCtxForExport: AimiDecisionContext? = null
10891,4,basalChannelGuardBlockedT3cCount,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var basalChannelGuardBlockedT3cCount: Int = 0
10892,4,basalChannelGuardBlockedHarmoniaCount,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var basalChannelGuardBlockedHarmoniaCount: Int = 0
10937,4,correctionAggressionDecision,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var correctionAggressionDecision: CorrectionAggressionGate.Decision? = null
10938,4,lastPostHypoDeliveryAuthority,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastPostHypoDeliveryAuthority: PostHypoDeliveryAuthority.Decision =
10942,4,raEstimatorRunCountAtTickStart,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var raEstimatorRunCountAtTickStart: Long = -1L
10957,4,mealAbsorptionDeltaPrevForTick,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var mealAbsorptionDeltaPrevForTick: Double? = null
10960,4,mealAbsorptionDeltaPrevLatched,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var mealAbsorptionDeltaPrevLatched: Boolean = false
10963,4,lastHtrRaFloorMgdlPerMin,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastHtrRaFloorMgdlPerMin: Double? = null
10966,4,smbTerminalSealed,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var smbTerminalSealed: Boolean = false
10969,4,smbSealRefusedCount,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var smbSealRefusedCount: Int = 0
10970,4,smbSealRefusedTotalU,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var smbSealRefusedTotalU: Double = 0.0
10973,4,smbSealAllowedRaiseCount,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var smbSealAllowedRaiseCount: Int = 0
10976,4,riseFloorSpentU,ENGINE_STATE,ANNEX8,unknown,Annex 8 cross-tick memory.,private var riseFloorSpentU: Double = 0.0
10979,4,lastRiseFloorContributionMs,ENGINE_STATE,ANNEX8,unknown,Annex 8 cross-tick memory.,private var lastRiseFloorContributionMs: Long = 0L
10992,4,lastMaxSmbLadderBranch,TELEMETRY,HEURISTIC,n/a,Trace / export of this tick.,private var lastMaxSmbLadderBranch: String? = null
10993,4,lastSlopeFromMinDeviation,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastSlopeFromMinDeviation: Double? = null
11002,4,raNetCombinedDelta,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var raNetCombinedDelta: Float = 0.0f
11003,4,raNetShortAvgDeltaAdj,WORKING,HEURISTIC,reset,Annex 8 scratch examples or this-tick copy.,private var raNetShortAvgDeltaAdj: Float = 0.0f
11006,4,lastPostHypoSmbBeforeCapU,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastPostHypoSmbBeforeCapU: Double? = null
11009,4,lastPostHypoSmbAfterCapU,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastPostHypoSmbAfterCapU: Double? = null
11012,4,lastEffortSmbFactorRaw,WORKING,NEEDS_REVIEW,reset,Looks like this-tick scratch (last* snapshot). CORE must prove it is not read on the next tick before write.,private var lastEffortSmbFactorRaw: Double? = null
