key,kind,name,ref_count,role,note
BooleanKey.OApsAIMIEnableStepsFromWatch,BooleanKey,OApsAIMIEnableStepsFromWatch,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIHyperDroppingExemptEnabled,BooleanKey,OApsAIMIHyperDroppingExemptEnabled,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIIntelligenceKineticsProfiler,BooleanKey,OApsAIMIIntelligenceKineticsProfiler,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIIntelligenceSingleLearnPath,BooleanKey,OApsAIMIIntelligenceSingleLearnPath,3,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIIntelligenceSnapshotExport,BooleanKey,OApsAIMIIntelligenceSnapshotExport,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIIobSurveillanceGuard,BooleanKey,OApsAIMIIobSurveillanceGuard,6,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIMealAdvisorTrigger,BooleanKey,OApsAIMIMealAdvisorTrigger,8,persist,"Written during the tick. This is engine/effect state stored in prefs, not only config."
BooleanKey.OApsAIMIMealConfirmedEarlyRelease,BooleanKey,OApsAIMIMealConfirmedEarlyRelease,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMINightGrowthEnabled,BooleanKey,OApsAIMINightGrowthEnabled,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIPeakGovernorEnabled,BooleanKey,OApsAIMIPeakGovernorEnabled,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIPkpdEnabled,BooleanKey,OApsAIMIPkpdEnabled,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIPkpdEndogenousReversion,BooleanKey,OApsAIMIPkpdEndogenousReversion,4,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIPkpdHyperReversion,BooleanKey,OApsAIMIPkpdHyperReversion,3,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIPkpdPragmaticReliefEnabled,BooleanKey,OApsAIMIPkpdPragmaticReliefEnabled,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIPkpdStackAwareGuardB,BooleanKey,OApsAIMIPkpdStackAwareGuardB,3,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIPredictionAuthorityEnabled,BooleanKey,OApsAIMIPredictionAuthorityEnabled,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIPredictionAuthorityShadow,BooleanKey,OApsAIMIPredictionAuthorityShadow,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMISensorConfidenceCgmFirst,BooleanKey,OApsAIMISensorConfidenceCgmFirst,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIStraightLineTubeAdvisorEnabled,BooleanKey,OApsAIMIStraightLineTubeAdvisorEnabled,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIT3cAdaptiveBasalEnabled,BooleanKey,OApsAIMIT3cAdaptiveBasalEnabled,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIT3cAutodriveBasalAuthority,BooleanKey,OApsAIMIT3cAutodriveBasalAuthority,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIT3cBrittleMode,BooleanKey,OApsAIMIT3cBrittleMode,8,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIT3cCfrdExacerbationMode,BooleanKey,OApsAIMIT3cCfrdExacerbationMode,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIT3cCfrdMode,BooleanKey,OApsAIMIT3cCfrdMode,3,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIT3cHyperBasalFloor,BooleanKey,OApsAIMIT3cHyperBasalFloor,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIT3cPhysioInformedEnabled,BooleanKey,OApsAIMIT3cPhysioInformedEnabled,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMITrajectoryGuardEnabled,BooleanKey,OApsAIMITrajectoryGuardEnabled,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIUndeclaredCobEnabled,BooleanKey,OApsAIMIUndeclaredCobEnabled,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIUnifiedReactivityEnabled,BooleanKey,OApsAIMIUnifiedReactivityEnabled,3,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIautoDriveActive,BooleanKey,OApsAIMIautoDriveActive,7,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIautoDriveAuthoritative,BooleanKey,OApsAIMIautoDriveAuthoritative,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIautodriveAggressiveSmbFloor,BooleanKey,OApsAIMIautodriveAggressiveSmbFloor,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIhoneymoon,BooleanKey,OApsAIMIhoneymoon,6,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMInight,BooleanKey,OApsAIMInight,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
BooleanKey.OApsAIMIpregnancy,BooleanKey,OApsAIMIpregnancy,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.ApsSmbMaxIob,DoubleKey,ApsSmbMaxIob,4,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIActivityBasalCapFactor,DoubleKey,OApsAIMIActivityBasalCapFactor,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIBFPrebolus,DoubleKey,OApsAIMIBFPrebolus,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIBFPrebolus2,DoubleKey,OApsAIMIBFPrebolus2,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMICHO,DoubleKey,OApsAIMICHO,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIDiaGovernorLearnedWeight,DoubleKey,OApsAIMIDiaGovernorLearnedWeight,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIDinnerPrebolus,DoubleKey,OApsAIMIDinnerPrebolus,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIDinnerPrebolus2,DoubleKey,OApsAIMIDinnerPrebolus2,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIHighBGMaxSMB,DoubleKey,OApsAIMIHighBGMaxSMB,6,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIHighBg,DoubleKey,OApsAIMIHighBg,12,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIHighCarbPrebolus,DoubleKey,OApsAIMIHighCarbPrebolus,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIHighCarbPrebolus2,DoubleKey,OApsAIMIHighCarbPrebolus2,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIHyperDeepDevMgdl,DoubleKey,OApsAIMIHyperDeepDevMgdl,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIHyperEstablishedDevMgdl,DoubleKey,OApsAIMIHyperEstablishedDevMgdl,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMILastEstimatedCarbTime,DoubleKey,OApsAIMILastEstimatedCarbTime,12,persist,"Written during the tick. This is engine/effect state stored in prefs, not only config."
DoubleKey.OApsAIMILastEstimatedCarbs,DoubleKey,OApsAIMILastEstimatedCarbs,13,persist,"Written during the tick. This is engine/effect state stored in prefs, not only config."
DoubleKey.OApsAIMILunchPrebolus,DoubleKey,OApsAIMILunchPrebolus,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMILunchPrebolus2,DoubleKey,OApsAIMILunchPrebolus2,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIMaxMultiplier,DoubleKey,OApsAIMIMaxMultiplier,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIMaxSMB,DoubleKey,OApsAIMIMaxSMB,9,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIMealPrebolus,DoubleKey,OApsAIMIMealPrebolus,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMINightGrowthMaxIobExtra,DoubleKey,OApsAIMINightGrowthMaxIobExtra,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIPkpdBoundsDiaMaxH,DoubleKey,OApsAIMIPkpdBoundsDiaMaxH,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIPkpdBoundsDiaMinH,DoubleKey,OApsAIMIPkpdBoundsDiaMinH,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIPkpdPragmaticReliefMinFactor,DoubleKey,OApsAIMIPkpdPragmaticReliefMinFactor,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIPkpdStateDiaH,DoubleKey,OApsAIMIPkpdStateDiaH,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIPriorityMaxIobExtraU,DoubleKey,OApsAIMIPriorityMaxIobExtraU,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIPriorityMaxIobFactor,DoubleKey,OApsAIMIPriorityMaxIobFactor,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIRedCarpetRestoreThreshold,DoubleKey,OApsAIMIRedCarpetRestoreThreshold,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMISmbTailDamping,DoubleKey,OApsAIMISmbTailDamping,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMISnackPrebolus,DoubleKey,OApsAIMISnackPrebolus,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIT3cActivationThreshold,DoubleKey,OApsAIMIT3cActivationThreshold,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIT3cAggressiveness,DoubleKey,OApsAIMIT3cAggressiveness,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIT3cAnticipationStrength,DoubleKey,OApsAIMIT3cAnticipationStrength,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIT3cCfrdCobDelayMin,DoubleKey,OApsAIMIT3cCfrdCobDelayMin,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIT3cCfrdLgsFloorMgdl,DoubleKey,OApsAIMIT3cCfrdLgsFloorMgdl,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMITDD7,DoubleKey,OApsAIMITDD7,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIUndeclaredCobMaxG,DoubleKey,OApsAIMIUndeclaredCobMaxG,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIautodrivePrebolus,DoubleKey,OApsAIMIautodrivePrebolus,3,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIautodrivesmallPrebolus,DoubleKey,OApsAIMIautodrivesmallPrebolus,3,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.OApsAIMIweight,DoubleKey,OApsAIMIweight,10,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.autodriveMaxBasal,DoubleKey,autodriveMaxBasal,6,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
DoubleKey.meal_modes_MaxBasal,DoubleKey,meal_modes_MaxBasal,6,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
IntKey.OApsAIMIBFinterval,IntKey,OApsAIMIBFinterval,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
IntKey.OApsAIMIDinnerinterval,IntKey,OApsAIMIDinnerinterval,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
IntKey.OApsAIMIHCinterval,IntKey,OApsAIMIHCinterval,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
IntKey.OApsAIMIHighBGinterval,IntKey,OApsAIMIHighBGinterval,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
IntKey.OApsAIMILunchinterval,IntKey,OApsAIMILunchinterval,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
IntKey.OApsAIMINightGrowthAgeYears,IntKey,OApsAIMINightGrowthAgeYears,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
IntKey.OApsAIMISleepinterval,IntKey,OApsAIMISleepinterval,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
IntKey.OApsAIMISnackinterval,IntKey,OApsAIMISnackinterval,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
IntKey.OApsAIMImealinterval,IntKey,OApsAIMImealinterval,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
StringKey.AimiTuningContextSelection,StringKey,AimiTuningContextSelection,2,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
StringKey.ContextMode,StringKey,ContextMode,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
StringKey.OApsAIMINightGrowthEnd,StringKey,OApsAIMINightGrowthEnd,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
StringKey.OApsAIMINightGrowthStart,StringKey,OApsAIMINightGrowthStart,1,config,Tick config key. Must appear in AimiConfigSnapshot later (M1.7).
